lane_id,branch,base_ref,base_sha,head_sha,file_count,net_loc,diff_check_rc,state,report_path,result
branch-deferred-rtc-reload-hydration-20260517t093634z,deferred/rtc-reload-hydration-20260517T093634Z,origin/trunk,66017fe5c5ea,7c98344661b3,1049,57351,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132003Z/validations/branch-deferred-rtc-reload-hydration-20260517t093634z/report.md,fail
branch-ready-rtc-pr03b-browser-revision-restore-crdt-invalidation,ready/rtc-pr03b-browser-revision-restore-crdt-invalidation,origin/trunk,66017fe5c5ea,cbab481fe760,1049,53787,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132003Z/validations/branch-ready-rtc-pr03b-browser-revision-restore-crdt-invalidation/report.md,fail
branch-ready-rtc-pr07c-reload-record-snapshots,ready/rtc-pr07c-reload-record-snapshots,ready/rtc-pr07b-save-response-manager-base-record,c2592d5fd583,025c7638361f,6,316,0,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132004Z/validations/branch-ready-rtc-pr07c-reload-record-snapshots/report.md,pass
branch-deferred-rtc-reload-hydration-20260517t055716z,deferred/rtc-reload-hydration-20260517T055716Z,origin/trunk,66017fe5c5ea,d0efa3277824,1049,57128,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132004Z/validations/branch-deferred-rtc-reload-hydration-20260517t055716z/report.md,fail
branch-deferred-rtc-reload-hydration-20260517t045710z,deferred/rtc-reload-hydration-20260517T045710Z,origin/trunk,66017fe5c5ea,a4dcaeceb872,1050,57567,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132004Z/validations/branch-deferred-rtc-reload-hydration-20260517t045710z/report.md,fail
branch-deferred-rtc-reload-hydration-20260517t035704z,deferred/rtc-reload-hydration-20260517T035704Z,origin/trunk,66017fe5c5ea,3e04ac8a14fd,1049,57260,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132005Z/validations/branch-deferred-rtc-reload-hydration-20260517t035704z/report.md,fail
branch-ready-rtc-pr15c-fallback-group-delete-green-on-pr14b,ready/rtc-pr15c-fallback-group-delete-green-on-pr14b,ready/rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b,acb367667da1,8decb9081f9f,2,117,0,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132125Z/validations/branch-ready-rtc-pr15c-fallback-group-delete-green-on-pr14b/report.md,pass
branch-deferred-rtc-reload-hydration-20260517t100637z,deferred/rtc-reload-hydration-20260517T100637Z,origin/trunk,66017fe5c5ea,c59a2fba4ff1,1049,57144,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132248Z/validations/branch-deferred-rtc-reload-hydration-20260517t100637z/report.md,fail
branch-ready-rtc-pr15a-fallback-group-move-green-on-pr14b,ready/rtc-pr15a-fallback-group-move-green-on-pr14b,ready/rtc-pr14b-table-query-array-local-suffix-append,c3d45173ed99,125b5d030d8c,2,107,0,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132249Z/validations/branch-ready-rtc-pr15a-fallback-group-move-green-on-pr14b/report.md,pass
branch-ready-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b,ready/rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b,ready/rtc-pr15a-fallback-group-move-green-on-pr14b,125b5d030d8c,acb367667da1,2,172,0,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132249Z/validations/branch-ready-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b/report.md,pass
branch-ready-rtc-pr14b-table-query-array-local-suffix-append,ready/rtc-pr14b-table-query-array-local-suffix-append,ready/rtc-pr14-table-body-array-green,9b090fc7e660,c3d45173ed99,2,140,0,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132249Z/validations/branch-ready-rtc-pr14b-table-query-array-local-suffix-append/report.md,pass
branch-deferred-rtc-reload-hydration-20260517t065722z,deferred/rtc-reload-hydration-20260517T065722Z,origin/trunk,66017fe5c5ea,8a9f8c02e345,1049,57077,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132248Z/validations/branch-deferred-rtc-reload-hydration-20260517t065722z/report.md,fail
branch-deferred-rtc-reload-hydration-20260517t042707z,deferred/rtc-reload-hydration-20260517T042707Z,origin/trunk,66017fe5c5ea,9c9fdb0686a6,1049,57005,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132248Z/validations/branch-deferred-rtc-reload-hydration-20260517t042707z/report.md,fail
branch-deferred-rtc-reload-hydration-20260517t062719z,deferred/rtc-reload-hydration-20260517T062719Z,origin/trunk,66017fe5c5ea,8a9f8c02e345,1049,57077,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132413Z/validations/branch-deferred-rtc-reload-hydration-20260517t062719z/report.md,fail
branch-deferred-rtc-http-room-isolation-20260517t023739z,deferred/rtc-http-room-isolation-20260517T023739Z,origin/trunk,66017fe5c5ea,b94fac8feb5e,1049,57184,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132414Z/validations/branch-deferred-rtc-http-room-isolation-20260517t023739z/report.md,fail
branch-deferred-rtc-pre-save-search-live-collapse-20260517t022131z,deferred/rtc-pre-save-search-live-collapse-20260517T022131Z,origin/trunk,66017fe5c5ea,210fe675fbad,1050,57371,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132414Z/validations/branch-deferred-rtc-pre-save-search-live-collapse-20260517t022131z/report.md,fail
branch-deferred-rtc-rich-text-suffix-corruption-20260517t022133z,deferred/rtc-rich-text-suffix-corruption-20260517T022133Z,origin/trunk,66017fe5c5ea,659b7e3161b1,1049,57168,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132414Z/validations/branch-deferred-rtc-rich-text-suffix-corruption-20260517t022133z/report.md,fail
branch-deferred-rtc-reload-hydration-20260517t073541z,deferred/rtc-reload-hydration-20260517T073541Z,origin/trunk,66017fe5c5ea,c59a2fba4ff1,1049,57144,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T132658Z/validations/branch-deferred-rtc-reload-hydration-20260517t073541z/report.md,fail
branch-deferred-rtc-reload-hydration-20260517t093634z,deferred/rtc-reload-hydration-20260517T093634Z,origin/trunk,66017fe5c5ea,7c98344661b3,1049,57351,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T133506Z/validations/branch-deferred-rtc-reload-hydration-20260517t093634z/report.md,fail
branch-ready-rtc-pr07c-reload-record-snapshots,ready/rtc-pr07c-reload-record-snapshots,ready/rtc-pr07b-save-response-manager-base-record,c2592d5fd583,025c7638361f,6,316,0,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T133507Z/validations/branch-ready-rtc-pr07c-reload-record-snapshots/report.md,pass
branch-ready-rtc-pr03b-browser-revision-restore-crdt-invalidation,ready/rtc-pr03b-browser-revision-restore-crdt-invalidation,origin/trunk,66017fe5c5ea,cbab481fe760,1049,53787,2,done,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T133507Z/validations/branch-ready-rtc-pr03b-browser-revision-restore-crdt-invalidation/report.md,fail
